Term,"exclude (yes, maybe) initial","class (disorder, method, non-human, patients/disorder, other)",comment (initial),comment (Anna),comment (Peder),exclude - final
cytoarchitectonic maps,,,,,,
cytokines,,,,,,
d-1 receptors,,,,,,
d1 receptors,,,,,,
d2-receptor binding,,,,,,
dacc,,,,,,
daily-life,,,,,,
damage,,,,,,
damaged patients,,,,,,
dance,,,,,,
dancers,,,,,,
dangerous and safe choices,,,,,,
dark energy,,,,,,
dark personalities,,,,,,
dark side,,,,,,
dark triad,,,,,,
data analysis,,,,,,
data capture,,,,,,
data mining,,,,,,
data-driven fmri analysis,,,,,,
daydreaming,,,,,,
daytime,,,,,,
daytime sleepiness,,,,,,
dcm,,,,,,
deactivation,,,,,,
deactivations,,,,,,
death,,,,,,
death-related thoughts,,,,,,
decade,,,,,,
deceit,,,,,,
deception,,,,,,
deception detection,,,,,,
deception evidence,,,,,,
deceptive behavior,,,,,,
deceptive responses,,,,,,
decimals,,,,,,
decision,,,,,,
decision behavior,,,,,,
decision field-theory,,,,,,
decision making,,,,,,
decision neuroscience,,,,,,
decision-making,,,,,,
decision-making competence,,,,,,
decision-making in social context,,,,,,
decision-making task,,,,,,
decisions,,,,,,
declarative intention,,,,,,
declarative memory,,,,,,
declarative/procedural model,,,,,,
decline,,,,,,
decoding,,,,,,
decomposition,,,,,,
decompressive hemicraniectomy,,,,,,
decoupling interface,,,,,,
decreases,,,,,,
dedifferentiation,,,,,,
deduction,,,,,,
deductive inference,,,,,,
deductive reasoning,,,,,,
default,,,,,,
default brain network,,,,,,
default mode,,,,,,
default mode network,,,,,,
default mode network (dmn),,,,,,
default network,,,,,,
default-mode,,,,,,
default-mode network,,,,,,
default-mode networks,,,,,,
default-model network,,,,,,
defendants,,,,,,
defense,,,,,,
defense mechanism,,,,,,
deficiency syndrome,,,,,,
deficit hypothesis,,,,,,
deficits,,,,,,
degree centrality,,,,,,
degree of self-reference effect,,,,,,
dehumanization,,,,,,
dehydration,,,,,,
dehydroepiandrosterone,,,,,,
deindividuation,,,,,,
deja vu,,,,,,
deja-vu,,,,,,
delay,,,,,,
delay conditioning,,,,,,
delay discounting,,,,,,
delay discounting task,,,,,,
delay of gratification,,,,,,
delay-discounting task,,,,,,
delayed disengagement,,,,,,
delayed intentions,,,,,,
delayed match,,,,,,
delayed match-to-sample,,,,,,
delayed reward,,,,,,
delayed rewards,,,,,,
delays,,,,,,
deletion variant,,,,,,
deliberate vicarious representations,,,,,,
deliberation,,,,,,
delinquency,,,,,,
delphi,,,,,,
delta(9)-tetrahydrocannabinol,,,,,,
delusion,,,,,,
delusions,,,,,,
dendrites,,,,,,
dendritic release,,,,,,
denoising,,,,,,
density,,,,,,
density-weighted epi,,,,,,
dentate gyrus,,,,,,
deontologic,,,,,,
deontology,,,,,,
dependence,,,,,,
dependencies,,,,,,
dependent consolidation,,,,,,
dependent plasticity,,,,,,
depends,,,,,,
depletion,,,,,,
depressed mood,,,,,,
depressive symptoms,,,,,,
deprivation,,,,,,
depth,,,,,,
deqi,,,,,,
derivational morphology,,,,,,
derivative,,,,,,
des-acyl ghrelin,,,,,,
descending pain inhibitory system,,,,,,
desensitization,,,,,,
deservingness,,,,,,
design,,,,,,
desirability ratings,,,,,,
desire,,,,,,
detailed exploration,,,,,,
detectability and reproducibility,,,,,,
detecting deception,,,,,,
detection task,,,,,,
detection-task,,,,,,
determinants,,,,,,
determinism,,,,,,
developement,,,,,,
developing brain,,,,,,
development,,,,,,
developmental,,,,,,
developmental analysis,,,,,,
developmental differences,,,,,,
developmental fmri,,,,,,
developmental neuroscience,,,,,,
developmental outcomes,,,,,,
developmental perspective,,,,,,
developmental trajectories,,,,,,
developmental-changes,,,,,,
deviance detection,,,,,,
dexamethasone suppression test,,,,,,
dfmc,,,,,,
dfmri,,,,,,
dhvc,,,,,,
dialects,,,,,,
dichotic listening,,,,,,
dictator game,,,,,,
dictator games,,,,,,
dictionary,,,,,,
diet,,,,,,
dietary restriction,,,,,,
dietary self-care,,,,,,
dieting,,,,,,
difference,,,,,,
difference potentials,,,,,,
different regions,,,,,,
differential connections,,,,,,
differential contribution,,,,,,
differential development,,,,,,
differential entropy,,,,,,
differential neural response,,,,,,
differential outcomes,,,,,,
differential responses,,,,,,
differential role,,,,,,
differential susceptibility,,,,,,
differential vulnerability,,,,,,
differentiating bold,,,,,,
differentiating hostile,,,,,,
differentiation,,,,,,
difficulties,,,,,,
difficulties questionnaire,,,,,,
difficulty,,,,,,
diffusion,,,,,,
diffusion decision-model,,,,,,
diffusion mri,,,,,,
diffusion of responsibility,,,,,,
diffusion tensor,,,,,,
diffusion tensor imaging,,,,,,
diffusion tensor imaging (dti),,,,,,
diffusion tractography,,,,,,
diffusion weighted imaging,,,,,,
diffusion-model,,,,,,
diffusion-tensor mri,,,,,,
diffusion-weighted imaging,,,,,,
diffusion-weighted imaging (dwi),,,,,,
digit ratio,,,,,,
digit ratios 2d4d,,,,,,
digit representation,,,,,,
digit somatotopy,,,,,,
digital art,,,,,,
digital media,,,,,,
digital storytelling,,,,,,
dilemma,,,,,,
dilemma exploration and exploitation,,,,,,
dilemmas,,,,,,
dimensionality,,,,,,
dimensions,,,,,,
dipfc,,,,,,
direct gaze,,,,,,
direct mapping,,,,,,
direct matching,,,,,,
directed action,,,,,,
directed actions,,,,,,
directed attention,,,,,,
directed evolution,,,,,,
directed functional connectivity,,,,,,
direction,,,,,,
directional connectivity,,,,,,
directional coupler,,,,,,
directions of mediation,,,,,,
dirichlet,,,,,,
dirichlet process,,,,,,
disability,,,,,,
disadvantageous inequity,,,,,,
disbelief,,,,,,
disclosure,,,,,,
disconnection,,,,,,
discontinuity,,,,,,
discounting,,,,,,
discourse,,,,,,
discourse analysis,,,,,,
discourse cohesion,,,,,,
discourse comprehension,,,,,,
discourse processing,,,,,,
discovery rate,,,,,,
discrepancies,,,,,,
discrepancy,,,,,,
discrimination,,,,,,
discrimination performance,,,,,,
discriminative touch,,,,,,
disease,,,,,,
disease avoidance,,,,,,
disease severity,,,,,,
disease-avoidance,,,,,,
diseases,,,,,,
disengagement,,,,,,
disgust,,,,,,
disgust sensitivity,,,,,,
dishonest decision making,,,,,,
dishonesty,,,,,,
disinhibited eating,,,,,,
disinhibited feedback,,,,,,
disinhibition,,,,,,
disorientation,,,,,,
disparagement humor,,,,,,
disparity cues,,,,,,
displaced aggression,,,,,,
displays,,,,,,
dispositional awe,,,,,,
dispositional empathy,,,,,,
dispositional mindfulness,,,,,,
dispositional negativity,,,,,,
dispositions,,,,,,
disruption,,,,,,
disrupts acquisition,,,,,,
dissatisfaction,,,,,,
dissimilar others,,,,,,
dissociable neural pathways,,,,,,
dissociable roles,,,,,,
dissociation,,,,,,
dissociation between numbers and letters,,,,,,
dissociations,,,,,,
dissonance,,,,,,
dissonance induction,,,,,,
distance,,,,,,
distance effect,,,,,,
distance perception,,,,,,
distaste,,,,,,
distinct,,,,,,
distinct components,,,,,,
distinct contributions,,,,,,
distinct neural mechanisms,,,,,,
distinct neural-networks,,,,,,
distinct regions,,,,,,
distinct representations,,,,,,
distinct roles,,,,,,
distinctiveness,,,,,,
distinguish,,,,,,
distortion correction,,,,,,
distortion-corrected fmri,,,,,,
distracters,,,,,,
distraction,,,,,,
distractor,,,,,,
distractor devaluation,,,,,,
distress,,,,,,
distributed account,,,,,,
distributed cortical network,,,,,,
distributed network,,,,,,
distributed neural systems,,,,,,
distributed representation,,,,,,
distributed representations,,,,,,
distributive justice,,,,,,
distrust,,,,,,
divergent thinking,,,,,,
divided attention,,,,,,
divided visual field,,,,,,
divided visual-field,,,,,,
division-of-labor,,,,,,
divorce,,,,,,
dlpc,,,,,,
dlpfc,,,,,,
dls-sm system,,,,,,
dm,,,,,,
dmn,,,,,,
dmpfc,,,,,,
dog,,,,,,
dogmatism,,,,,,
domain specific olympiads,,,,,,
domain-general,,,,,,
domain-specificity,,,,,,
domains,,,,,,
domestic violence,,,,,,
domestication,,,,,,
dominance,,,,,,
dominance durations,,,,,,
dominance hierarchies,,,,,,
donating,,,,,,
donations,,,,,,
dont stand,,,,,,
dopamine,,,,,,
dopamine d1,,,,,,
dopamine d2 receptor,,,,,,
dopamine neurons,,,,,,
dopamine neurons encode,,,,,,
dopamine release,,,,,,
dopamine system,,,,,,
dopamine transporter gene,,,,,,
dopamine-d4 receptor variants,,,,,,
dopamine-receptor gene,,,,,,
dopaminergic function,,,,,,
dopaminergic innervation,,,,,,
dopaminergic midbrain,,,,,,
dopaminergic modulation,,,,,,
dopaminergic-neurons,,,,,,
dorsal,,,,,,
dorsal acc,,,,,,
dorsal anterior cingulate,,,,,,
dorsal anterior cingulate cortex,,,,,,
dorsal anterior cingulate cortex (dacc),,,,,,
dorsal attention,,,,,,
dorsal medial frontal cortex,,,,,,
dorsal medial prefrontal cortex,,,,,,
dorsal mediofrontal cortex,,,,,,
dorsal penile,,,,,,
dorsal premotor cortex,,,,,,
dorsal stream,,,,,,
dorsal striatum,,,,,,
dorsal v4,,,,,,
dorsal visual region,,,,,,
dorsal visual stream,,,,,,
dorsal visual-cortex,,,,,,
dorsofrontomedial cortex,,,,,,
dorsolateral frontal cortex,,,,,,
dorsolateral prefrontal cortex,,,,,,
dorsolateral prefrontal cortex (dlpfc),,,,,,
dorsolateral striatum,,,,,,
dorsomedial prefrontal cortex,,,,,,
dorsomedial striatum,,,,,,
dorsomedial superior frontal gyrus,,,,,,
dose-response,,,,,,
dot perspective-taking task,,,,,,
dot-perspective task,,,,,,
dot-probe,,,,,,
dot-probe task,,,,,,
double blind,,,,,,
double deficit,,,,,,
double dissociation,,,,,,
double-conflict,,,,,,
down attentional control,,,,,,
down suppression deficit,,,,,,
down-regulation,,,,,,
down-syndrome,,,,,,
downregulation,,,,,,
drd2,,,,,,
dreaming,,,,,,
dreams,,,,,,
dresden,,,,,,
drift-diffusion model,,,,,,
drifter,,,,,,
drinkers,,,,,,
drinking,,,,,,
drinking norms,,,,,,
driven gait orthosis,,,,,,
driving,,,,,,
driving behavior,,,,,,
driving game,,,,,,
driving video game,,,,,,
driving while intoxicated,,,,,,
drm,,,,,,
drug,,,,,,
drug-delivery,,,,,,
drug-related cues,,,,,,
drug-seeking,,,,,,
drug-use,,,,,,
drumming,,,,,,
dti,,,,,,
dual functional magnetic resonance imaging,,,,,,
dual pathway model,,,,,,
dual process models,,,,,,
dual process theories,,,,,,
dual route models,,,,,,
dual systems-model,,,,,,
dual task,,,,,,
dual-head volume coil,,,,,,
dual-language contexts,,,,,,
dual-process theories,,,,,,
dual-process theory,,,,,,
dual-route,,,,,,
dual-route cascaded model,,,,,,
dual-system model,,,,,,
dual-systems perspective,,,,,,
dual-task,,,,,,
dual-task interference,,,,,,
dual-task performance,,,,,,
dualism,,,,,,
duration,,,,,,
dutch words,,,,,,
dwi,,,,,,
dyadic,,,,,,
dyadic fmri,,,,,,
dyads,,,,,,
dynamic,,,,,,
dynamic body expressions,,,,,,
dynamic capabilities,,,,,,
dynamic causal modeling,,,,,,
dynamic causal modeling (dcm),,,,,,
dynamic causal modelling,,,,,,
dynamic causal-models,,,,,,
dynamic competition,,,,,,
dynamic connectivity,,,,,,
dynamic control system,,,,,,
dynamic decision-making,,,,,,
dynamic emotion perception,,,,,,
dynamic expectation maximisation,,,,,,
dynamic expectation maximization,,,,,,
dynamic faces,,,,,,
dynamic facial expression,,,,,,
dynamic facial expressions,,,,,,
dynamic fearful faces,,,,,,
dynamic functional connectivity,,,,,,
dynamic functional network connectivity,,,,,,
dynamic hrv,,,,,,
dynamic network modelling,,,,,,
dynamic object recognition,,,,,,
dynamic parcellation,,,,,,
dynamic reconfiguration,,,,,,
dynamic spectra,,,,,,
dynamic stimuli,,,,,,
dynamics,,,,,,
dysexecutive questionnaire dex,,,,,,
dysfunction,,,,,,
e-cigarette,,,,,,
e-cigs,,,,,,
e-commerce,,,,,,
early adolescence,,,,,,
early adulthood,,,,,,
early age effects,,,,,,
early childhood,,,,,,
early deafness,,,,,,
early deprivation,,,,,,
early experience,,,,,,
early gene zenk,,,,,,
early gene-expression,,,,,,
early life stress,,,,,,
early preterm birth,,,,,,
early visual cortex,,,,,,
early-blind,,,,,,
early-childhood temperament,,,,,,
early-life,,,,,,
early-life experience,,,,,,
eating behavior,,,,,,
eating behaviors,,,,,,
eating rate,,,,,,
eba,,,,,,
eccentricity,,,,,,
echo,,,,,,
echo planar imaging,,,,,,
echo-planar imaging,,,,,,
ecological validity,,,,,,
economic choice,,,,,,
economic decision,,,,,,
economic decision-making,,,,,,
economic decisions,,,,,,
economic exchange,,,,,,
economic humanism,,,,,,
economic status,,,,,,
economic value,,,,,,
economical choice,,,,,,
economicgames,,,,,,
economics,,,,,,
eczema,,,,,,
education,,,,,,
effect size,,,,,,
effect-of-context,,,,,,
effective connectivity,,,,,,
effector information,,,,,,
effects models,,,,,,
efficacy,,,,,,
efficiency,,,,,,
efficient market hypothesis,,,,,,
effort,,,,,,
effortful control,,,,,,
egalitarianism,,,,,,
egb 761,,,,,,
ego depletion,,,,,,
ego threat,,,,,,
ego-depletion,,,,,,
egocentric,,,,,,
egocentric bias,,,,,,
egocentric distance,,,,,,
egocentric memory,,,,,,
egoistic default,,,,,,
ehd proteins,,,,,,
eigenmodes,,,,,,
eigenvector centrality,,,,,,
"einstein,albert",,,,,,
ejaculation,,,,,,
ekman faces,,,,,,
elaboration likelihood model,,,,,,
elaborative retrieval,,,,,,
elastic net,,,,,,
elbow flexion/extension,,,,,,
elderly,,,,,,
elderly adults,,,,,,
elderly persons,,,,,,
elderly-men,,,,,,
elderly-patients,,,,,,
election outcomes,,,,,,
electrical neuroimaging,,,,,,
electrical-stimulation,,,,,,
electricity,,,,,,
electrodermal,,,,,,
electrodermal activity,,,,,,
electrodermal response,,,,,,
electronic cigarette,,,,,,
electronic commerce,,,,,,
electrophysiological evidence,,,,,,
electrophysiology,,,,,,
elementary-school,,,,,,
elementary-school-children,,,,,,
elevated ghrelin,,,,,,
elevated plus-maze,,,,,,
elevation,,,,,,
eliminate market anomalies,,,,,,
elusive homunculus,,,,,,
embarrassment,,,,,,
embedded figures,,,,,,
emblematic gestures,,,,,,
embodied cognition,,,,,,
embodied emotion,,,,,,
embodied empathy,,,,,,
embodied language,,,,,,
embodied perception,,,,,,
embodied simulation,,,,,,
embodiment,,,,,,
emergence,,,,,,
emerging adulthood,,,,,,
emg,,,,,,
emophon,,,,,,
emoticon,,,,,,
emotion,,,,,,
emotion and cognition,,,,,,
emotion attribution,,,,,,
emotion body processing,,,,,,
emotion concepts,,,,,,
emotion contagion,,,,,,
emotion detection,,,,,,
emotion dynamics,,,,,,
emotion experience,,,,,,
emotion expression,,,,,,
emotion generation,,,,,,
emotion induction,,,,,,
emotion labeling,,,,,,
emotion perception,,,,,,
emotion processing,,,,,,
emotion recognition,,,,,,
emotion regulation,,,,,,
emotion regulation strategies,,,,,,
emotion suppression,,,,,,
emotion talk,,,,,,
emotion understanding,,,,,,
emotion x cognition interaction,,,,,,
emotion-cognition interactions,,,,,,
emotion-induced blindness,,,,,,
emotion-induced changes,,,,,,
emotion-induced enhancement and impairment,,,,,,
emotion-laden words,,,,,,
emotion-mirroring,,,,,,
emotion-motivation system,,,,,,
emotion-regulation,,,,,,
"emotion, envy",,,,,,
emotion. cognition,,,,,,
emotional and social cognitive processing,,,,,,
emotional appraisal,,,,,,
emotional arousal,,,,,,
emotional attention,,,,,,
emotional awareness,,,,,,
emotional coding,,,,,,
emotional communication,,,,,,
emotional conflict,,,,,,
emotional control,,,,,,
emotional decision-making,,,,,,
emotional distraction,,,,,,
emotional egocentricity,,,,,,
emotional empathy,,,,,,
emotional enhancement of memory (eem),,,,,,
emotional experience,,,,,,
emotional experiences,,,,,,
emotional expression,,,,,,
emotional expressions,,,,,,
emotional expressivity,,,,,,
emotional faces,,,,,,
emotional facial expression,,,,,,
emotional facial expressions,,,,,,
emotional inertia,,,,,,
emotional intelligence,,,,,,
emotional intelligence competencies,,,,,,
emotional intelligence evidence,,,,,,
emotional intensity,,,,,,
emotional labor,,,,,,
emotional memories,,,,,,
emotional memory,,,,,,
emotional modulation,,,,,,
emotional modulation of memory,,,,,,
emotional perseveration,,,,,,
emotional picture cues,,,,,,
emotional prediction,,,,,,
emotional processing,,,,,,
emotional prosody,,,,,,
emotional reactivity,,,,,,
emotional regulation,,,,,,
emotional responses,,,,,,
emotional salience,,,,,,
emotional self,,,,,,
emotional signals,,,,,,
emotional speech,,,,,,
emotional state,,,,,,
emotional states,,,,,,
emotional stimuli,,,,,,
emotional stroop task,,,,,,
emotional suffering,,,,,,
emotional support,,,,,,
emotional synchrony,,,,,,
emotional transmissions,,,,,,
emotional valence,,,,,,
emotional vocalization,,,,,,
emotional vocalizations,,,,,,
emotional words,,,,,,
emotional working-memory,,,,,,
emotional-reactions,,,,,,
emotionally influenced memory,,,,,,
emotionally neutral faces,,,,,,
emotions,,,,,,
empathic accuracy,,,,,,
empathic brain,,,,,,
empathic concern,,,,,,
"empathic concern, altruism",,,,,,
empathic embarrassment,,,,,,
empathic neural responses,,,,,,
empathizing,,,,,,
empathy,,,,,,
empathy for pain,,,,,,
empathy for pleasant,,,,,,
empirical analyses,,,,,,
empirical bayes,,,,,,
emptiness,,,,,,
enactive cinema,,,,,,
enactive systems,,,,,,
enactment,,,,,,
encapsulation,,,,,,
enclosure,,,,,,
encoding,,,,,,
encoding bias,,,,,,
encoding strategies,,,,,,
encoding task,,,,,,
enculturation,,,,,,
end-tidal co2,,,,,,
endogenous attention,,,,,,
endogenous emotion,,,,,,
endogenous testosterone,,,,,,
endotoxin,,,,,,
endowment,,,,,,
endowment effect,,,,,,
energy,,,,,,
energy density,,,,,,
energy-density,,,,,,
energy-expenditure,,,,,,
energy-intake,,,,,,
enforcement,,,,,,
engagement,,,,,,
english,,,,,,
english bilinguals,,,,,,
english words,,,,,,
enhanced memory,,,,,,
enhancement,,,,,,
enhancement technologies,,,,,,
enhances attentional interference,,,,,,
enhances memory,,,,,,
enjoyment,,,,,,
ensembles,,,,,,
entitativity,,,,,,
entorhinal cortex,,,,,,
entrainment,,,,,,
entrepreneurship,,,,,,
environment,,,,,,
environment interaction,,,,,,
environmental contributions,,,,,,
environmental stimuli,,,,,,
environmental-influences,,,,,,
environments,,,,,,
envy,,,,,,
enzensberger,,,,,,
epi,,,,,,
epidemiology,,,,,,
epigenetic regulation,,,,,,
episodic,,,,,,
episodic future thinking,,,,,,
episodic future thought,,,,,,
episodic memory,,,,,,
episodic memory retrieval,,,,,,
episodic retrieval,,,,,,
episodic simulation,,,,,,
episodic-memory,,,,,,
episodic-specificity induction,,,,,,
equality,,,,,,
equitable decision,,,,,,
equity,,,,,,
equity norm,,,,,,
ergm,,,,,,
eros,,,,,,
erotic plasticity,,,,,,
erotic stimulation,,,,,,
error,,,,,,
error likelihood,,,,,,
error monitoring,,,,,,
error observation,,,,,,
error processing,,,,,,
error-detection,,,,,,
error-monitoring,,,,,,
error-monitoring activity,,,,,,
error-related activity,,,,,,
errors,,,,,,
escalation,,,,,,
escalation of commitment,,,,,,
essential tremor,,,,,,
essentialism,,,,,,
esteem,,,,,,
estimators,,,,,,
estradiol,,,,,,
estradiol-dependent modulation,,,,,,
estrogen,,,,,,
estrogen plus progestin,,,,,,
et-al,,,,,,
et-al. 2008,,,,,,
et-al. 2009,,,,,,
ethanol,,,,,,
ethanol seeking,,,,,,
ethical implications,,,,,,
ethicists,,,,,,
ethics,,,,,,
ethics boards,,,,,,
ethnic diversity,,,,,,
ethnic-identity,,,,,,
ethnicity,,,,,,
ethnomusicology,,,,,,
eudaimonic well-being,,,,,,
europe,,,,,,
european backgrounds,,,,,,
evaluating faces,,,,,,
evaluation,,,,,,
